Nome,Altura,Força,Raça,Funçao
Mordekaiser,220,100,Revenã,lutador
Yasuo,183,85,Humano,Lutador/Arcano 
Jinx,168,75,Humano,Atiradora 
Ahri,168,65,Vastaya,Mago/Assassino
Darius,202,85,Humano,Lutador/Tanque 
Lux,167,60,Humano,Mago/Suporte 
Lee Sin,182,70,Humano,Lutador/Tanque 
Thresh,200,90,Espírito das Trevas ,Suporte/Tanque 
Miss Fortune,173,60,Humano,Atiradora 
Riven,178,75,Humano,Lutador 
Ezreal,170,65,Humano,Atirador/Mago 
Teemo,130,40,Yordle ,Lutador/Atirador 
Ashe,173,60,Humano,Atiradora 
Akali,167,75,Humano,Assassino/Lutador 
Jhin,178,85,Humano,Atirador 
Katarina,178,75,Humano,Assassino 
Zed,185,85,Humano,Assassino 
Garen ,198,85,Humano,Lutador/Tanque 
Leona,175,70,Humano,Suporte/Tanque 
Draven,185,70,Humano,Atirador 
Vi,178,70,Humano,Lutador/Tanque 
Morgana,1780, Fallen,Mago/Suporte 
Syndra,175,80,Humano,Mago/Assassino 
Veigar,130,80,Yordle ,Mago 
Sett,200,80,Vastaya,Lutador/Tanque 
Nami,168,50,Marai ,Suporte 
Yone,185,75,Espírito ,Lutador/Assassino 
Sylas,185,80,Humano,Mago/Lutador 
Lulu,128,50,Yordle ,Suporte/Mago 
Renekton,217,85,Shuriman ,Lutador/Tanque 
Fiora,180,75,Humano,Lutador 
Nasus,211,85,Shuriman ,Lutador/Tanque 
Soraka,176,65,Celestial ,Suporte 
Bard,165,70,Guardião Cósmico ,Suporte 
Kai'Sa,165,70,Humano,Atiradora/Assassino 
Orianna,152,60,Androide ,Mago/Suporte 
Malphite,350,95,Ser de Pedra ,Tanque/Lutador 
Alistar,312,85,Minotauro ,Suporte/Tanque
Jayce,185,70,Humano,Suporte/Tanque
Evelynn,177,75,Daemon ,Assassino
Pantheon,201,80,Aspecto ,Lutador/Tanque
Kassadin,184,80,Humano ,Assassino/Mago
Twisted Fate,182,70,Humano,Mago/Assassino
Vladimir,182,75,Demonio,Mago/Sustentação
Irelia,173,75,Humano,Lutador/Assassino
Maokai,259,85,Entidade Elemental ,Tanque/Mago
Akshan,183,70,Humano,Atirador/Assassino
Gwen,160,60,Boneca Viva ,Lutador/Assassino
Samira,170,70,Humano,Atiradora
Viego,183,80,Espectro,Atirador/Assassino
